,Volumes(>200D),Volumes(All),DollarVolumes(>200D),DollarVolumes(All),prices
2020-09-30 12:00:00,517.52360841,65631.0823297598,5549302.1482587475,703748969.6055481,10722.8
2020-09-30 13:00:00,191.2773664800001,189126.70329207898,2053758.4733114145,2030666652.116283,10737.07
2020-09-30 14:00:00,160.58625023000002,134196.1964694498,1725910.3595219394,1442281673.3271997,10747.56
2020-09-30 15:00:00,300.99891441,34084.466112810056,3245018.1264387607,367458834.802966,10780.83
2020-09-30 16:00:00,1221.288967,68687.51030468996,13174178.42881537,740939729.2828242,10787.11
2020-09-30 17:00:00,298.03248220000006,144455.41947212964,3209651.8760784348,1555708306.3425157,10769.47
2020-09-30 18:00:00,229.02432102,137239.05204096003,2457375.9987075552,1472542091.0270114,10729.76
2020-09-30 19:00:00,19.191845590000003,34671.18189840007,205517.22192970634,371278778.34175,10708.57
2020-09-30 20:00:00,805.94822227,98039.50389924963,8627264.685806992,1049462889.0944784,10704.49
2020-09-30 21:00:00,497.9905533700001,231823.45596346966,5332174.091342872,2482221835.9141355,10707.38
2020-09-30 22:00:00,311.1416018,94201.01920763995,3342880.4784110566,1012088214.2853471,10743.92
2020-09-30 23:00:00,216.60860982000005,80548.95339691,2334960.6686739675,868287914.505933,10779.63
2020-10-01 00:00:00,115.85622197999999,100424.64339025064,1249654.1743317747,1083205309.768091,10786.25
2020-10-01 01:00:00,160.79363320000002,51426.366911410034,1743096.2441952561,557491644.6124933,10840.58
2020-10-01 02:00:00,107.56559199,40515.67536440973,1163859.7053318,438379607.4429133,10820.0
2020-10-01 03:00:00,64.41654693000001,36903.59694906002,695797.264160803,398615309.5531803,10801.53
2020-10-01 04:00:00,34.84967555000001,41519.12488626983,376585.94249005563,448656078.71228063,10806.01
2020-10-01 05:00:00,48.33479721,53668.75436654987,523158.92782201647,580891813.1995075,10823.65
2020-10-01 06:00:00,79.58082321,89948.9376806499,861331.1028899536,973548834.6458621,10823.35
2020-10-01 07:00:00,310.54722630999987,104632.16362030793,3362773.061986886,1133013569.0490496,10828.54
2020-10-01 08:00:00,139.73728907999998,29872.71205137002,1520072.0122224754,324957452.7846467,10878.07
2020-10-01 09:00:00,61.84332624999999,37284.93431942978,674168.3234162873,406451644.5509975,10901.23
2020-10-01 10:00:00,351.94937884,91746.74615160994,3826534.426500016,997507322.8587639,10872.4
2020-10-01 11:00:00,52.32315924000001,32428.286071570103,570755.1482429149,353736500.10592604,10908.27
2020-10-01 12:00:00,118.08937657999999,51754.15306034996,1285947.2560993338,563582542.7075176,10889.61
2020-10-01 13:00:00,1915.1447255499995,122589.67143457956,20806113.146927938,1331812964.568558,10863.99
2020-10-01 14:00:00,53.72358522999997,49221.73637041998,583551.492362635,534651914.8465026,10862.11
2020-10-01 15:00:00,61.745183659999995,62929.84111962991,661660.1531968869,674354918.8411317,10715.98
2020-10-01 16:00:00,742.6648463400002,139193.06812521978,7805095.615797941,1462860684.9074476,10509.58
2020-10-01 17:00:00,183.47078096999996,75815.18216002971,1921483.9849753806,794010128.3065262,10472.97
2020-10-01 18:00:00,392.8374508000001,274975.40332562,4158133.347849398,2910578897.3992553,10584.87
2020-10-01 19:00:00,347.9023524400001,156591.98697957952,3692986.950174125,1662225507.7081063,10615.01
2020-10-01 20:00:00,266.01495974999995,98673.31667814964,2821559.494627508,1046605175.1422971,10606.77
2020-10-01 21:00:00,84.47280543,99187.3610549497,893882.7797797169,1049590735.947372,10581.9
2020-10-01 22:00:00,128.07371459000007,76699.17119332,1358085.985089485,813313409.3836936,10603.94
2020-10-01 23:00:00,172.30268281000002,52894.43397776986,1829446.1340839402,561613529.0353886,10617.63
2020-10-02 00:00:00,10.37232914,13196.705320370029,109875.74215268239,139794810.93153098,10593.16
2020-10-02 01:00:00,1563.1315153099995,105076.06090381017,16554875.777605757,1112843748.8625088,10590.84
2020-10-02 02:00:00,19.863650479999997,135089.2471936392,210547.14690081758,1431894686.3386421,10599.62
2020-10-02 03:00:00,57.69833802000001,167693.8238596903,614314.2048989399,1785436142.6341226,10647.0
2020-10-02 04:00:00,51.73158475000001,152146.3783512298,547640.9024804502,1610651990.5017893,10586.2
