,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-10-01 20:00:00,5.0,1.0,4.0,2.0,10606.77
2020-10-01 21:00:00,5.0,1.0,1.0,5.0,10581.9
2020-10-01 22:00:00,1.0,0.0,0.0,3.0,10603.94
2020-10-01 23:00:00,2.0,2.0,0.0,1.0,10617.63
2020-10-02 00:00:00,1.0,1.0,0.0,0.0,10593.16
2020-10-02 01:00:00,7.0,4.0,6.0,3.0,10590.84
2020-10-02 02:00:00,3.0,0.0,2.0,6.0,10599.62
2020-10-02 03:00:00,4.0,3.0,1.0,27.0,10647.0
2020-10-02 04:00:00,4.0,2.0,10.0,8.0,10586.2
2020-10-02 05:00:00,1.0,1.0,0.0,0.0,10437.92
2020-10-02 06:00:00,3.0,0.0,0.0,1.0,10503.38
2020-10-02 07:00:00,3.0,1.0,4.0,3.0,10491.15
2020-10-02 08:00:00,3.0,1.0,8.0,10.0,10452.7
2020-10-02 09:00:00,1.0,0.0,1.0,0.0,10448.72
2020-10-02 10:00:00,4.0,1.0,3.0,5.0,10462.44
2020-10-02 11:00:00,1.0,3.0,1.0,2.0,10437.02
2020-10-02 12:00:00,5.0,7.0,0.0,5.0,10489.04
2020-10-02 13:00:00,5.0,4.0,3.0,4.0,10529.54
2020-10-02 14:00:00,7.0,4.0,6.0,6.0,10523.62
2020-10-02 15:00:00,3.0,1.0,1.0,1.0,10517.75
2020-10-02 16:00:00,15.0,2.0,10.0,10.0,10549.63
2020-10-02 17:00:00,7.0,1.0,3.0,1.0,10543.18
2020-10-02 18:00:00,11.0,1.0,0.0,5.0,10555.0
2020-10-02 19:00:00,4.0,0.0,0.0,1.0,10515.13
2020-10-02 20:00:00,5.0,0.0,1.0,1.0,10546.1
2020-10-02 21:00:00,8.0,0.0,1.0,6.0,10472.06
2020-10-02 22:00:00,12.0,1.0,1.0,5.0,10555.6
2020-10-02 23:00:00,4.0,0.0,1.0,2.0,10573.12
2020-10-03 00:00:00,10.0,0.0,0.0,3.0,10550.29
2020-10-03 01:00:00,10.0,0.0,0.0,3.0,10539.12
2020-10-03 02:00:00,9.0,0.0,0.0,2.0,10545.99
2020-10-03 03:00:00,4.0,0.0,0.0,1.0,10554.95
2020-10-03 04:00:00,6.0,0.0,0.0,3.0,10561.78
2020-10-03 05:00:00,3.0,1.0,1.0,0.0,10542.75
2020-10-03 06:00:00,5.0,0.0,0.0,1.0,10530.08
2020-10-03 07:00:00,11.0,1.0,1.0,6.0,10529.95
2020-10-03 08:00:00,6.0,0.0,0.0,2.0,10511.17
2020-10-03 09:00:00,7.0,0.0,0.0,4.0,10528.68
2020-10-03 10:00:00,2.0,1.0,0.0,1.0,10552.67
2020-10-03 11:00:00,4.0,0.0,0.0,4.0,10542.07
2020-10-03 12:00:00,4.0,0.0,2.0,6.0,10539.1
2020-10-03 13:00:00,2.0,0.0,1.0,3.0,10533.88
2020-10-03 14:00:00,3.0,0.0,1.0,1.0,10541.01
2020-10-03 15:00:00,4.0,0.0,0.0,7.0,10550.04
2020-10-03 16:00:00,3.0,1.0,0.0,1.0,10582.24
2020-10-03 17:00:00,2.0,0.0,0.0,3.0,10587.46
2020-10-03 18:00:00,1.0,0.0,0.0,0.0,10580.51
2020-10-03 19:00:00,3.0,0.0,0.0,1.0,10589.25
2020-10-03 20:00:00,3.0,0.0,0.0,3.0,10572.03
2020-10-03 21:00:00,1.0,0.0,0.0,1.0,10578.61
2020-10-03 22:00:00,4.0,0.0,0.0,11.0,10563.72
2020-10-03 23:00:00,5.0,0.0,0.0,2.0,10551.65
2020-10-04 00:00:00,4.0,0.0,0.0,2.0,10550.7
2020-10-04 01:00:00,3.0,0.0,0.0,1.0,10545.52
2020-10-04 02:00:00,5.0,1.0,0.0,1.0,10556.0
2020-10-04 03:00:00,6.0,0.0,1.0,1.0,10552.18
2020-10-04 04:00:00,6.0,0.0,0.0,4.0,10570.74
2020-10-04 05:00:00,4.0,0.0,0.0,1.0,10569.88
2020-10-04 06:00:00,5.0,0.0,0.0,1.0,10621.2
2020-10-04 07:00:00,4.0,0.0,0.0,7.0,10613.41
2020-10-04 08:00:00,7.0,0.0,0.0,0.0,10601.72
2020-10-04 09:00:00,7.0,1.0,0.0,2.0,10600.92
2020-10-04 10:00:00,8.0,0.0,0.0,5.0,10587.38
2020-10-04 11:00:00,4.0,0.0,0.0,3.0,10604.54
2020-10-04 12:00:00,5.0,0.0,0.0,0.0,10609.75
2020-10-04 13:00:00,3.0,1.0,0.0,6.0,10611.5
2020-10-04 14:00:00,6.0,0.0,0.0,0.0,10610.0
2020-10-04 15:00:00,4.0,0.0,0.0,3.0,10597.22
2020-10-04 16:00:00,2.0,0.0,0.0,4.0,10605.6
2020-10-04 17:00:00,6.0,0.0,0.0,2.0,10610.0
2020-10-04 18:00:00,5.0,0.0,0.0,1.0,10635.07
2020-10-04 19:00:00,3.0,0.0,0.0,5.0,10677.02
2020-10-04 20:00:00,4.0,0.0,0.0,3.0,10646.9
2020-10-04 21:00:00,6.0,1.0,1.0,2.0,10647.1
2020-10-04 22:00:00,7.0,0.0,0.0,3.0,10662.48
2020-10-04 23:00:00,6.0,0.0,1.0,3.0,10671.11
2020-10-05 00:00:00,6.0,1.0,0.0,1.0,10709.37
2020-10-05 01:00:00,11.0,0.0,0.0,2.0,10695.54
2020-10-05 02:00:00,19.0,0.0,0.0,1.0,10715.86
2020-10-05 03:00:00,15.0,0.0,0.0,1.0,10672.15
2020-10-05 04:00:00,7.0,2.0,0.0,0.0,10659.62
2020-10-05 05:00:00,11.0,1.0,1.0,2.0,10680.46
