,Profits(All),Losses(All),prices
2020-09-28 09:00:00,3714937.273550907,886574.3422535053,10855.91
2020-09-28 10:00:00,3332666.0420284546,429125.479533906,10877.12
2020-09-28 11:00:00,3204547.9255821453,350925.8942587947,10880.0
2020-09-28 12:00:00,2253603.5625873455,282264.17943737237,10905.59
2020-09-28 13:00:00,2427393.283652035,510855.84931069467,10888.01
2020-09-28 14:00:00,3911245.6461001844,1741883.9506696486,10862.26
2020-09-28 15:00:00,5256979.825927588,358163.96254095045,10900.59
2020-09-28 16:00:00,809288.98049017,324617.7666093713,10891.47
2020-09-28 17:00:00,4850503.627412124,439965.80803396984,10894.08
2020-09-28 18:00:00,9928969.785724776,1297477.982607253,10872.42
2020-09-28 19:00:00,1609343.9078315666,1793596.9815197363,10869.07
2020-09-28 20:00:00,2005426.392122707,433435.4912000738,10867.45
2020-09-28 21:00:00,2696618.1252374095,126684.44612265719,10888.28
2020-09-28 22:00:00,3411353.333639134,1195932.1402988834,10866.28
2020-09-28 23:00:00,462602.2546854828,5271304.759276501,10695.55
2020-09-29 00:00:00,74229376.68410225,3347468.562134514,10706.54
2020-09-29 01:00:00,6241910.098248789,5287532.317687267,10677.13
2020-09-29 02:00:00,1085351.6879172686,1166620.3793326747,10682.47
2020-09-29 03:00:00,673868.9560801955,966102.3299651891,10685.8
2020-09-29 04:00:00,545326.0450601386,463657.0889189014,10687.43
2020-09-29 05:00:00,9248115.022170091,1321882.4438686068,10673.67
2020-09-29 06:00:00,2365949.2919237367,452133.02541686094,10739.29
2020-09-29 07:00:00,2282436.6955068503,1121719.6436795415,10723.37
2020-09-29 08:00:00,4512646.333011328,2091864.2345109945,10729.45
2020-09-29 09:00:00,1834667.3433699352,1357754.3765987696,10716.57
2020-09-29 10:00:00,2737124.0868704575,687497.0831023222,10768.25
2020-09-29 11:00:00,225226.46686477802,671693.3177671775,10757.19
2020-09-29 12:00:00,2636036.4727247064,1193652.8329503206,10761.41
2020-09-29 13:00:00,5238749.538013533,1575435.0834686703,10756.51
2020-09-29 14:00:00,9487556.864825975,533960.3066089669,10762.41
2020-09-29 15:00:00,851965.4133056584,3304590.677945345,10722.9
2020-09-29 16:00:00,3286231.769833397,2087947.480709278,10692.3
2020-09-29 17:00:00,382544.0655408703,1287263.1694874566,10676.24
2020-09-29 18:00:00,5798537.45756414,555277.4669999845,10726.3
2020-09-29 19:00:00,36138072.115204,755449.509028171,10736.75
2020-09-29 20:00:00,12726295.967936926,467386.67677407584,10756.29
2020-09-29 21:00:00,3341057.652034814,1866193.9847851752,10770.45
2020-09-29 22:00:00,1279426.7386788349,900736.589560433,10767.12
2020-09-29 23:00:00,6635846.815226826,204676.31932571842,10840.73
2020-09-30 00:00:00,1370663.1057639737,984138.5782488569,10810.01
2020-09-30 01:00:00,1569712.5996371363,875736.5265399602,10792.3
2020-09-30 02:00:00,2122890.703454192,1254486.0517645613,10774.11
2020-09-30 03:00:00,699228.339403707,1454776.6802837672,10739.84
2020-09-30 04:00:00,1685392.9153771927,239732.98021269636,10748.95
2020-09-30 05:00:00,26892464.44385513,22291062.377019797,10698.01
2020-09-30 06:00:00,2134767.4987667752,589465.448957001,10713.24
2020-09-30 07:00:00,52772.65241127498,823485.6991933496,10695.17
